grid_code,degrees,metres,protected
0.2441062,0.6560314,1123.8614502,0
0.0774246,0.8247350,1153.9483643,0
0.1204713,0.4364061,931.3119507,1
0.0649654,1.6486883,1516.0694580,0
0.0771199,0.5911431,1559.7037354,0
0.0841719,1.5170252,922.9423218,1
0.0866508,0.9467026,1407.3985596,0
0.0655739,0.3782754,1350.6739502,0
0.1042228,0.7797151,1179.4615479,0
0.1391200,0.6285225,1260.8568115,0
0.0591817,0.3837854,1430.6044922,1
0.0577213,1.2466900,1334.5885010,0
0.0559517,1.9271029,1090.8065186,0
0.2922721,1.5937904,856.9987183,1
0.0386695,2.2410352,1709.0937500,1
0.0357860,0.7199948,1665.6055908,1
0.0892556,0.3915461,682.1380005,0
0.0850348,1.5084459,1099.7843018,0
0.0964371,0.4430303,1105.7971191,0
0.0587193,0.3114623,1534.8688965,0
0.0840958,0.4509578,1356.1324463,0
0.0808611,0.8483647,1281.7904053,1
0.0441970,0.7283517,1786.9500732,0
0.0667943,2.0499370,1393.9781494,0
0.3107222,0.2750547,1000.7546387,1
0.0405031,2.4750092,1473.1011963,1
0.0313685,1.4918162,1845.8223877,0
0.0324874,1.2314419,2016.7500000,0
0.2009497,2.0637453,1372.3067627,1
0.2280707,0.8019423,1179.2126465,1
0.2596271,2.7151198,1339.9489746,1
0.0218546,1.7925038,2186.9787598,1
0.0851258,0.9709247,899.8361206,0
0.0629044,1.7305460,1361.6795654,0
0.0511095,0.5870275,1716.4291992,0
0.0709198,0.7013495,1029.1562500,0
0.0654369,0.7679277,1553.2098389,0
0.0568180,1.1500444,1561.5067139,0
0.0520410,1.6439393,1532.8406982,0
0.0523979,0.9707937,1575.3388672,0
0.0552356,0.8046269,1078.9299316,1
0.0485404,1.6561430,1061.1668701,1
0.0397972,2.3911419,1945.7672119,0
0.0290553,1.0061367,1943.2991943,0
0.0335902,2.1124020,1818.2113037,0
0.2352136,1.0786861,1074.8863525,1
0.2332673,1.4508641,1378.0318604,1
0.0478683,1.9251562,1284.9896240,1
0.0301631,1.4052982,1948.2124023,1
0.0252917,0.8536761,1967.2476807,1
0.0253121,1.0646313,2154.5642090,1
0.2908984,1.6833683,1690.9926758,1
0.3623577,0.7108308,1531.4920654,1
0.4492022,0.6044780,1467.0996094,1
0.0821739,1.1530460,946.5923462,0
0.0828266,1.2274528,626.6266479,1
0.0673258,1.0118656,1245.0979004,1
0.0540597,1.1190262,911.5992432,0
0.0574857,1.1100699,1500.6312256,0
0.1049432,1.2921826,841.3544312,0
0.0944341,1.2295512,927.7772217,0
0.0562226,0.3322360,1350.3453369,0
0.0555542,0.7666153,1387.2354736,0
0.0465264,0.3094784,1360.2600098,1
0.0438914,1.7560475,1025.5439453,1
0.0353119,2.5120084,1535.3586426,0
0.0343448,1.0290304,1750.3968506,0
0.0423059,1.2922895,1170.9792480,1
0.2352496,0.8923173,1168.9111328,1
0.1931541,2.0671017,1457.6136475,1
